Scenario ID,Method,Dataset,Clients,Option,Privacy,Result (Mean±Std),Mean Acc,Std Acc
1_Baseline_10,Baseline (Vanilla FedALA),Cora,10,0,no_dp,81.38±0.15,81.3844385245852,0.1541677334117824
2_Opt1_Degree_10,FedALA-SA (Opt 1 - Degree),Cora,10,1,no_dp,81.29±0.17,81.29339623964664,0.16894789792043993
3_Opt3_Layers_10,FedALA-SA (Opt 3 - Layers),Cora,10,3,no_dp,80.57±0.35,80.5698416395456,0.34732009300684696
4_Opt2_Innovation_10,FedALA-SA (Opt 2 - Proximal),Cora,10,2,no_dp,82.11±0.45,82.11280422388336,0.44726185149612846
5_Privacy_10,FedALA-SA + Privacy,Cora,10,2,gaussian,83.62±0.38,83.61599721975566,0.3777847255906916
6_Baseline_20,Baseline (Vanilla FedALA),Cora,20,0,no_dp,78.48±0.38,78.4766805580747,0.37633251350769503
7_Opt1_Degree_20,FedALA-SA (Opt 1 - Degree),Cora,20,1,no_dp,78.27±0.09,78.26882088807825,0.08710610427616769
8_Opt3_Layers_20,FedALA-SA (Opt 3 - Layers),Cora,20,3,no_dp,79.96±0.15,79.96124207340476,0.1503095567541464
9_Innovation_20,FedALA-SA (Opt 2 - Proximal),Cora,20,2,no_dp,79.30±0.36,79.30297621422461,0.3582894111301099
10_Privacy_20,FedALA-SA + Privacy,Cora,20,2,gaussian,80.63±0.44,80.6319790119398,0.4411696287425
